solution.name,solution.number,nozzle,orifice.size,pressure,rep,dv10,dv50,dv90,rs,fines (<200),density,viscosity,ph,conductivity,surface.tension
dicamba,2,AI110,0.3,20,2,444.95,804,1123.47,0.84,0.82,1.00123,1.022,6.28,2.97,
dicamba,2,AI110,0.3,20,3,441.4,796.51,1116.7,0.85,0.79,1.00124,1.021,6.31,2.97,
dicamba,2,AI80,0.5,20,1,507.49,934.84,1333.47,0.88,0.61,1.00124,1.023,6.28,2.89,
dicamba,2,AI80,0.5,20,2,505.88,934.81,1332.8,0.88,0.8,1.00123,1.022,6.28,2.97,
dicamba,2,AI80,0.5,20,3,511.02,938.84,1335.33,0.88,0.41,1.00124,1.021,6.31,2.97,
dicamba,2,TADFD,0.3,20,1,519.15,942.28,1332.02,0.86,0.31,1.00124,1.023,6.28,2.89,
dicamba,2,TADFD,0.3,20,2,527.4,953.4,1338.72,0.85,0.23,1.00123,1.022,6.28,2.97,
dicamba,2,TADFD,0.3,20,3,518.75,942.77,1336.27,0.87,0.31,1.00124,1.021,6.31,2.97,
dicamba,2,TADFD,0.6,20,1,516.67,991.83,1392.4,0.88,0.81,1.00124,1.023,6.28,2.89,
dicamba,2,TADFD,0.6,20,2,514.18,988.55,1391.85,0.89,0.73,1.00123,1.022,6.28,2.97,
dicamba,2,TADFD,0.6,20,3,515.91,992.88,1399.34,0.89,0.73,1.00124,1.021,6.31,2.97,
dicamba,2,TDXLD,0.3,20,1,507.58,931.83,1347.39,0.9,0.31,1.00124,1.023,6.28,2.89,
dicamba,2,TDXLD,0.3,20,2,523.53,951.39,1360.51,0.88,0.22,1.00123,1.022,6.28,2.97,
dicamba,2,TDXLD,0.3,20,3,508.34,935.89,1355.81,0.91,0.31,1.00124,1.021,6.31,2.97,
dicamba,2,TDXLD,0.4,20,1,527.93,948.59,1327.83,0.84,0.23,1.00124,1.023,6.28,2.89,
dicamba,2,TDXLD,0.4,20,2,530.61,953.6,1344.82,0.85,0.23,1.00123,1.022,6.28,2.97,
dicamba,2,TDXLD,0.4,20,3,522.79,944.11,1336.74,0.86,0.5,1.00124,1.021,6.31,2.97,
dicamba,2,TDXLD,0.5,20,1,589.33,1041.31,1416.31,0.79,0.16,1.00124,1.023,6.28,2.89,
dicamba,2,TDXLD,0.5,20,2,584.18,1034.66,1407.48,0.8,0.16,1.00123,1.022,6.28,2.97,
dicamba,2,TDXLD,0.5,20,3,591.13,1042.14,1418.55,0.79,0.17,1.00124,1.021,6.31,2.97,
dicamba,2,TDXLD,0.6,20,1,622.38,1096.28,1494.05,0.8,0.32,1.00124,1.023,6.28,2.89,
dicamba,2,TDXLD,0.6,20,2,624.41,1092.53,1484.52,0.79,0.32,1.00123,1.022,6.28,2.97,
dicamba,2,TDXLD,0.6,20,3,627.61,1098.59,1496.43,0.79,0.31,1.00124,1.021,6.31,2.97,
dicamba,2,ULD,0.4,20,1,471.21,841.79,1141.15,0.8,0.74,1.00124,1.023,6.28,2.89,
dicamba,2,ULD,0.4,20,2,469.83,835.16,1138.69,0.8,0.76,1.00123,1.022,6.28,2.97,
